context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p256,F_2^256,field,3,8,4,1,128,1e-09,358,3.257,34.531,23.587,1178.062,1206336,ok,-
field-f2p256,F_2^256,field,4,16,4,1,128,1e-09,369,6.219,51.228,30.805,1687.719,1728224,ok,-
field-f2p256,F_2^256,field,5,32,4,1,128,1e-09,377,11.916,81.253,38.131,2243.375,2297216,ok,-
field-f2p256,F_2^256,field,6,64,4,1,128,1e-09,383,28.994,142.595,43.775,2842.312,2910528,ok,-
field-f2p256,F_2^256,field,7,128,4,1,128,1e-09,388,68.014,270.442,53.482,3486.375,3570048,ok,-
field-f2p256,F_2^256,field,8,256,4,1,128,1e-09,393,153.556,536.095,62.518,4182.906,4283296,ok,-
field-f2p256,F_2^256,field,9,512,4,1,128,1e-09,397,347.871,1068.197,69.622,4920.938,5039040,ok,-
field-f2p256,F_2^256,field,10,1024,4,1,128,1e-09,401,771.310,2165.052,83.977,5710.562,5847616,ok,-
field-f2p256,F_2^256,field,11,2048,4,1,128,1e-09,406,1623.418,4391.977,102.720,6569.062,6726720,ok,-
field-f2p256,F_2^256,field,12,4096,4,1,128,1e-09,410,3464.539,8777.772,113.527,7467.281,7646496,ok,-
field-f2p256,F_2^256,field,13,8192,4,1,128,1e-09,415,7062.586,17775.217,126.848,8440.875,8643456,ok,-
field-f2p256,F_2^256,field,14,16384,4,1,128,1e-09,419,14377.596,35242.352,139.302,9452.562,9679424,ok,-
field-f2p256,F_2^256,field,15,32768,4,1,128,1e-09,424,28924.646,72795.483,167.251,10546.500,10799616,ok,-
field-f2p256,F_2^256,field,16,65536,4,1,128,1e-09,429,59554.548,145427.096,197.016,11703.781,11984672,ok,-
field-f2p256,F_2^256,field,17,131072,4,1,128,1e-09,433,118659.410,296887.710,238.820,12896.062,13205568,ok,-
field-f2p256,F_2^256,field,18,262144,4,1,128,1e-09,438,242719.588,606633.547,346.358,14181.656,14522016,ok,-
field-f2p256,F_2^256,field,19,524288,4,1,128,1e-09,443,514283.587,1254615.071,542.596,15534.719,15907552,ok,-
field-f2p256,F_2^256,field,20,1048576,4,1,128,1e-09,448,1093227.539,2561929.383,886.048,16956.656,17363616,ok,-
