context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-255,Field-255,field,3,8,4,1,128,1e-09,358,0.052,1.668,12.339,470.406,481696,ok,-
field-255,Field-255,field,4,16,4,1,128,1e-09,370,0.132,2.205,20.092,717.531,734752,ok,-
field-255,Field-255,field,5,32,4,1,128,1e-09,378,0.317,2.921,22.770,1004.844,1028960,ok,-
field-255,Field-255,field,6,64,4,1,128,1e-09,384,0.737,4.066,27.278,1332.906,1364896,ok,-
field-255,Field-255,field,7,128,4,1,128,1e-09,389,1.411,5.570,42.289,1702.906,1743776,ok,-
field-255,Field-255,field,8,256,4,1,128,1e-09,393,3.192,8.899,45.817,2113.531,2164256,ok,-
field-255,Field-255,field,9,512,4,1,128,1e-09,398,4.855,14.801,52.095,2575.844,2637664,ok,-
field-255,Field-255,field,10,1024,4,1,128,1e-09,402,9.151,26.226,54.031,3079.219,3153120,ok,-
field-255,Field-255,field,11,2048,4,1,128,1e-09,407,20.154,51.801,84.916,3639.094,3726432,ok,-
field-255,Field-255,field,12,4096,4,1,128,1e-09,411,42.714,99.066,100.245,4240.094,4341856,ok,-
field-255,Field-255,field,13,8192,4,1,128,1e-09,416,88.187,207.822,107.508,4902.781,5020448,ok,-
field-255,Field-255,field,14,16384,4,1,128,1e-09,420,172.371,455.201,115.848,5606.281,5740832,ok,-
field-255,Field-255,field,15,32768,4,1,128,1e-09,425,345.179,884.359,130.552,6377.031,6530080,ok,-
field-255,Field-255,field,16,65536,4,1,128,1e-09,430,700.629,1883.251,155.980,7204.656,7377568,ok,-
field-255,Field-255,field,17,131072,4,1,128,1e-09,434,1414.601,4016.671,204.924,8071.969,8265696,ok,-
field-255,Field-255,field,18,262144,4,1,128,1e-09,439,2841.253,8270.694,279.845,9015.625,9232000,ok,-
field-255,Field-255,field,19,524288,4,1,128,1e-09,444,5691.669,16368.838,408.160,10020.281,10260768,ok,-
field-255,Field-255,field,20,1048576,4,1,128,1e-09,449,11300.206,33869.909,777.624,11087.344,11353440,ok,-
field-255,Field-255,field,21,2097152,4,1,128,1e-09,454,22664.367,70128.722,1278.888,12218.219,12511456,ok,-
