context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-255,Field-255,field,3,8,4,1,128,1e-09,358,0.052,1.668,12.339,546.125,559232,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,3,8,4,1,128,0.000975893671809593661,445,2.377,31.085,60.462,6878.312,7043392,ok,-
field-f2p256,F_2^256,field,3,8,4,1,128,1e-09,358,3.257,34.531,23.587,7698.508,7883272,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,3,8,4,1,128,0.000975893671809593661,445,2.345,27.384,34.785,6242.652,6392476,ok,-
field-255,Field-255,field,4,16,4,1,128,1e-09,370,0.132,2.205,20.092,821.844,841568,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,4,16,4,1,128,0.00102638106164664202,474,5.202,42.776,70.143,9853.688,10090176,ok,-
field-f2p256,F_2^256,field,4,16,4,1,128,1e-09,369,6.219,51.228,30.805,10645.031,10900512,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,4,16,4,1,128,0.00102638106164664202,474,4.668,41.879,43.558,8951.297,9166128,ok,-
field-255,Field-255,field,5,32,4,1,128,1e-09,378,0.317,2.921,22.770,1138.031,1165344,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,5,32,4,1,128,0.00105282917148951025,496,8.654,69.818,80.045,13001.957,13314004,ok,-
field-f2p256,F_2^256,field,5,32,4,1,128,1e-09,377,11.916,81.253,38.131,13679.883,14008200,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,5,32,4,1,128,0.00105282917148951025,496,9.182,62.322,51.625,11821.920,12105646,ok,-
field-255,Field-255,field,6,64,4,1,128,1e-09,384,0.737,4.066,27.278,1495.250,1531136,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,6,64,4,1,128,0.00107617585429552394,515,20.476,124.181,91.385,16342.188,16734400,ok,-
field-f2p256,F_2^256,field,6,64,4,1,128,1e-09,383,28.994,142.595,43.775,16782.203,17184976,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,6,64,4,1,128,0.00107617585429552394,515,20.502,105.632,59.982,14872.164,15229096,ok,-
