context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,3,8,4,1,128,5.11702105512502896e-06,400,1.083,36.188,95.286,1767.500,1809920,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,4,16,4,1,128,4.98142614046585517e-06,417,2.407,49.863,136.167,2534.219,2595040,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,5,32,4,1,128,4.90164721976529548e-06,429,4.977,85.640,172.810,3358.875,3439488,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,6,64,4,1,128,5.00867570727734289e-06,439,8.782,150.756,217.695,4247.562,4349504,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,7,128,4,1,128,4.93826115439943237e-06,447,18.687,317.021,260.804,5192.031,5316640,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,8,256,4,1,128,4.99482138115929393e-06,455,41.867,539.587,303.529,6210.156,6359200,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,9,512,4,1,128,4.89249037770713414e-06,462,95.000,1043.094,343.051,7288.438,7463360,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,10,1024,4,1,128,5.01219153925923389e-06,470,213.722,2049.670,386.741,8458.406,8661408,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,11,2048,4,1,128,4.8960348755059296e-06,477,466.444,4167.692,445.522,9688.406,9920928,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,12,4096,4,1,128,4.95541448177780666e-06,485,981.196,7730.451,494.290,11018.844,11283296,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,13,8192,4,1,128,4.98833062528664842e-06,493,1980.259,14103.039,556.826,12434.000,12732416,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,14,16384,4,1,128,4.9787985303359473e-06,501,3991.391,25910.409,597.753,13936.125,14270592,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,15,32768,4,1,128,4.91161197784663263e-06,509,8088.073,49963.420,665.110,15527.469,15900128,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,16,65536,4,1,128,4.82297790969597844e-06,517,16282.495,97293.782,741.562,17210.281,17623328,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,17,131072,4,1,128,4.87800096165597356e-06,526,33415.918,192848.364,838.768,19022.938,19479488,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,18,262144,4,1,128,4.89526288135336544e-06,535,71142.112,394455.810,1007.867,20937.500,21440000,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,19,524288,4,1,128,4.842072227506167e-06,544,139128.704,781583.832,1273.199,22956.500,23507456,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,20,1048576,4,1,128,4.75348894065244861e-06,553,290302.167,1591723.719,1679.701,25082.469,25684448,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,21,2097152,4,1,128,4.80759485447769516e-06,563,633245.039,3226556.258,2507.054,27366.500,28023296,ok,-
