context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p256,F_2^256,field,3,8,4,1,128,1e-09,405,3.257,34.531,23.587,1332.281,1364256,ok,-
field-f2p256,F_2^256,field,4,16,4,1,128,1e-09,410,6.219,51.228,30.805,1874.781,1919776,ok,-
field-f2p256,F_2^256,field,5,32,4,1,128,1e-09,413,11.916,81.253,38.131,2457.125,2516096,ok,-
field-f2p256,F_2^256,field,6,64,4,1,128,1e-09,415,28.994,142.595,43.775,3079.312,3153216,ok,-
field-f2p256,F_2^256,field,7,128,4,1,128,1e-09,416,68.014,270.442,53.482,3737.500,3827200,ok,-
field-f2p256,F_2^256,field,8,256,4,1,128,1e-09,417,153.556,536.095,62.518,4437.906,4544416,ok,-
field-f2p256,F_2^256,field,9,512,4,1,128,1e-09,418,347.871,1068.197,69.622,5180.812,5305152,ok,-
field-f2p256,F_2^256,field,10,1024,4,1,128,1e-09,419,771.310,2165.052,83.977,5966.500,6109696,ok,-
field-f2p256,F_2^256,field,11,2048,4,1,128,1e-09,420,1623.418,4391.977,102.720,6795.250,6958336,ok,-
field-f2p256,F_2^256,field,12,4096,4,1,128,1e-09,421,3464.539,8777.772,113.527,7667.344,7851360,ok,-
field-f2p256,F_2^256,field,13,8192,4,1,128,1e-09,421,7062.586,17775.217,126.848,8562.750,8768256,ok,-
field-f2p256,F_2^256,field,14,16384,4,1,128,1e-09,422,14377.596,35242.352,139.302,9520.156,9748640,ok,-
field-f2p256,F_2^256,field,15,32768,4,1,128,1e-09,424,28924.646,72795.483,167.251,10546.500,10799616,ok,-
field-f2p256,F_2^256,field,16,65536,4,1,128,1e-09,429,59554.548,145427.096,197.016,11703.781,11984672,ok,-
field-f2p256,F_2^256,field,17,131072,4,1,128,1e-09,433,118659.410,296887.710,238.820,12896.062,13205568,ok,-
field-f2p256,F_2^256,field,18,262144,4,1,128,1e-09,438,242719.588,606633.547,346.358,14181.656,14522016,ok,-
field-f2p256,F_2^256,field,19,524288,4,1,128,1e-09,443,514283.587,1254615.071,542.596,15534.719,15907552,ok,-
field-f2p256,F_2^256,field,20,1048576,4,1,128,1e-09,448,1093227.539,2561929.383,886.048,16956.656,17363616,ok,-
