context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-255,Field-255,field,3,8,4,1,128,1e-09,405,0.052,1.668,12.339,532.094,544864,ok,-
field-255,Field-255,field,4,16,4,1,128,1e-09,410,0.132,2.205,20.092,795.031,814112,ok,-
field-255,Field-255,field,5,32,4,1,128,1e-09,413,0.317,2.921,22.770,1097.812,1124160,ok,-
field-255,Field-255,field,6,64,4,1,128,1e-09,415,0.737,4.066,27.278,1440.438,1475008,ok,-
field-255,Field-255,field,7,128,4,1,128,1e-09,416,1.411,5.570,42.289,1821.031,1864736,ok,-
field-255,Field-255,field,8,256,4,1,128,1e-09,417,3.192,8.899,45.817,2242.531,2296352,ok,-
field-255,Field-255,field,9,512,4,1,128,1e-09,418,4.855,14.801,52.095,2705.219,2770144,ok,-
field-255,Field-255,field,10,1024,4,1,128,1e-09,419,9.151,26.226,54.031,3209.375,3286400,ok,-
field-255,Field-255,field,11,2048,4,1,128,1e-09,420,20.154,51.801,84.916,3755.281,3845408,ok,-
field-255,Field-255,field,12,4096,4,1,128,1e-09,421,42.714,99.066,100.245,4343.219,4447456,ok,-
field-255,Field-255,field,13,8192,4,1,128,1e-09,422,88.187,207.822,107.508,4973.469,5092832,ok,-
field-255,Field-255,field,14,16384,4,1,128,1e-09,422,172.371,455.201,115.848,5632.969,5768160,ok,-
field-255,Field-255,field,15,32768,4,1,128,1e-09,425,345.179,884.359,130.552,6377.031,6530080,ok,-
field-255,Field-255,field,16,65536,4,1,128,1e-09,430,700.629,1883.251,155.980,7204.656,7377568,ok,-
field-255,Field-255,field,17,131072,4,1,128,1e-09,434,1414.601,4016.671,204.924,8071.969,8265696,ok,-
field-255,Field-255,field,18,262144,4,1,128,1e-09,439,2841.253,8270.694,279.845,9015.625,9232000,ok,-
field-255,Field-255,field,19,524288,4,1,128,1e-09,444,5691.669,16368.838,408.160,10020.281,10260768,ok,-
field-255,Field-255,field,20,1048576,4,1,128,1e-09,449,11300.206,33869.909,777.624,11087.344,11353440,ok,-
field-255,Field-255,field,21,2097152,4,1,128,1e-09,454,22664.367,70128.722,1278.888,12218.219,12511456,ok,-
