context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-prime128-ext,Field-Prime128 (ext-challenge),field,3,8,4,1,128,1e-09,405,0.046,2.925,12.689,474.938,486336,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,4,16,4,1,128,1e-09,410,0.115,4.022,16.499,717.906,735136,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,5,32,4,1,128,1e-09,413,0.301,5.387,23.101,1000.719,1024736,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,6,64,4,1,128,1e-09,415,0.541,7.247,33.971,1323.375,1355136,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,7,128,4,1,128,1e-09,416,1.357,10.242,37.743,1684.141,1724560,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,8,256,4,1,128,1e-09,417,2.756,15.146,45.477,2085.719,2135776,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,9,512,4,1,128,1e-09,418,6.136,25.391,48.377,2528.391,2589072,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,10,1024,4,1,128,1e-09,419,8.556,43.478,57.917,3012.438,3084736,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,11,2048,4,1,128,1e-09,420,17.299,81.503,76.267,3538.141,3623056,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,12,4096,4,1,128,1e-09,421,36.484,153.368,105.593,4105.781,4204320,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,13,8192,4,1,128,1e-09,421,75.500,306.351,108.826,4704.469,4817376,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,14,16384,4,1,128,1e-09,422,153.597,600.383,117.041,5355.312,5483840,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,15,32768,4,1,128,1e-09,424,302.679,1239.841,140.605,6063.141,6208656,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,16,65536,4,1,128,1e-09,429,615.868,2355.749,156.824,6865.344,7030112,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,17,131072,4,1,128,1e-09,434,1216.629,4658.006,177.600,7725.266,7910672,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,18,262144,4,1,128,1e-09,438,2474.516,9383.653,229.526,8624.625,8831616,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,19,524288,4,1,128,1e-09,443,4987.241,20010.712,493.227,9602.219,9832672,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,20,1048576,4,1,128,1e-09,448,9999.745,39778.614,781.187,10641.656,10897056,ok,-
field-prime128-ext,Field-Prime128 (ext-challenge),field,21,2097152,4,1,128,1e-09,453,20725.116,77321.071,1432.921,11744.344,12026208,ok,-
