context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p16-162,GR(2^16;162),ring,3,8,4,1,128,0.000975893671809593661,445,2.377,31.085,60.462,1730.352,1771880,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,4,16,4,1,128,0.00102638106164664202,474,5.202,42.776,70.143,2545.562,2606656,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,5,32,4,1,128,0.00105282917148951025,496,8.654,69.818,80.045,3445.262,3527948,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,6,64,4,1,128,0.00107617585429552394,515,20.476,124.181,91.385,4436.984,4543472,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,7,128,4,1,128,0.00110214167429337532,533,47.725,236.629,101.669,5531.789,5664552,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,8,256,4,1,128,0.00112938097309288157,551,108.419,477.603,112.618,6741.672,6903472,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,9,512,4,1,128,0.00114766951904880922,569,242.195,925.745,126.345,8071.695,8265416,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,10,1024,4,1,128,0.0011677842301321403,588,537.546,1862.905,142.106,9543.133,9772168,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,11,2048,4,1,128,0.00119875179836921009,609,1180.052,3795.753,165.924,11185.805,11454264,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,12,4096,4,1,128,0.00121275432095010189,630,2479.205,7516.152,185.093,12977.281,13288736,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,13,8192,4,1,128,0.00124304548379843397,654,5036.349,15224.904,203.558,14992.176,15351988,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,14,16384,4,1,128,0.00126521259255399801,679,10041.368,30602.570,228.573,17207.516,17620496,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,15,32768,4,1,128,0.00127706359448921693,705,20141.463,61805.743,275.327,19637.586,20108888,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,16,65536,4,1,128,0.00129805747589457178,734,42290.043,125074.389,308.434,22358.109,22894704,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,17,131072,4,1,128,0.00132213445345459717,766,81476.015,252447.116,390.825,25400.691,26010308,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,18,262144,4,1,128,0.0013406612580322047,800,168841.953,510139.573,528.731,28762.695,29453000,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,19,524288,4,1,128,0.00135809519536775691,837,350130.003,1042492.405,693.139,32509.258,33289480,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,20,1048576,4,1,128,0.00137225635265349897,877,740922.477,2136747.434,1084.675,36676.766,37557008,ok,-
